doc_id,topic,topic_words,keywords
6985ff5a6d8f3ff937a23478,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6985ff5a6d8f3ff937a23479,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6985ff5a6d8f3ff937a2347a,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6985ff5a6d8f3ff937a2347b,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6985ff5a6d8f3ff937a2347c,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698601257a59a31564b9b765,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698601257a59a31564b9b766,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698601257a59a31564b9b767,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698601257a59a31564b9b768,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698601257a59a31564b9b769,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698626e6809a30b10e4cbf07,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698626e6809a30b10e4cbf08,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698626e6809a30b10e4cbf09,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698626e6809a30b10e4cbf0a,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698626e6809a30b10e4cbf0b,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
